Player,2019_Overall,2019_Injury,2019_Age
Levine Toilolo,71,79,28
Ahkello Witherspoon,71,88,24
DeAndre Baker,71,87,22
Lorenzo Carter,71,89,23
Bennie Fowler III,71,82,28
Markus Golden,71,90,28
Kareem Martin,71,91,27
A.J. Cann,71,93,27
D.J. Chark Jr,71,90,22
Ronnie Harrison,71,92,22
Josh Oliver,71,90,22
Jawaan Taylor,71,90,21
Romeo Okwara,71,88,24
Josh Jones,71,88,24
Lane Taylor,71,90,29
Maurice Harris,71,88,26
Elandon Roberts,71,87,25
P.J. Hall,71,92,24
Josh Mauro,71,89,28
Kolton Miller,71,87,23
Morgan Fox,71,91,24
Troy Hill,71,89,28
Miles Boykin,71,87,22
Maurice Canady,71,88,25
Chris Wormley,71,90,25
Kenny Young,71,89,23
Bryce Love,71,80,21
Montae Nicholson,71,88,23
Samaje Perine,71,86,23
Dan Arnold,71,83,24
Poona Ford,71,90,23
Jacob Hollister,71,84,25
Germain Ifedi,71,87,25
Artie Burns,71,87,24
Kamalei Correa,71,89,25
C.J. Ham,71,90,26
Holton Hill,71,85,22
David Morgan II,71,82,26
Jordan Akins,71,84,27
Duke Ejiofor,71,86,24
Alex Erickson,70,88,26
John Miller,70,85,26
Andre Roberts,70,88,31
Wyatt Teller,70,92,24
Su'a Cravens,70,83,24
Troy Fumagalli,70,80,24
Austin Corbett,70,88,23
Eric Murray,70,91,25
Greg Robinson,70,94,26
Sione Takitaki,70,87,23
Beau Allen,70,93,27
Matt Gay,70,85,25
William Gholston,70,87,28
Jordan Leggett,70,86,24
Darius Philon,70,89,25
Chad Williams,70,88,24
Vince Mayle,70,91,28
Derek Watt,70,90,26
Jeremiah Attaochu,70,87,26
Mecole Hardman,70,85,21
Khalen Saunders,70,90,23
Daniel Sorensen,70,88,29
Damien Wilson,70,88,26
Mo Alie-Cox,70,85,25
Rock Ya-Sin,70,90,23
Noah Brown,70,86,23
Kerry Hyder Jr,70,87,28
Kalen Ballage,70,91,23
Ricardo Louis,70,89,25
Josh Rosen,70,86,22
Andre Dillard,70,89,23
Shelton Gibson,70,87,25
Braxton Miller,70,85,26
Isaac Seumalo,70,87,25
Josh Sweat,70,86,22
Paul Worrilow,70,91,29
Jack Crawford,70,84,30
Chris Lindstrom,70,93,22
Logan Paulsen,70,89,32
Sheldon Day,70,89,25
Weston Richburg,70,92,28
Grant Haley,70,86,23
Alec Ogletree,70,87,27
Logan Cooke,70,87,24
Ben Koyack,70,91,26
Dawuane Smoot,70,91,24
Brandon Shell,70,92,27
Neal Sterling,70,90,27
Deonte Thompson,70,86,30
Miles Killebrew,70,88,26
Zach Zenner,70,88,26
Tyler Lancaster,70,86,24
Chris Manhertz,70,86,27
Kevon Seymour,70,82,25
Matt LaCosse,70,89,26
Joejuan Williams,70,91,21
Arden Key,70,87,23
J.J. Nelson,70,81,27
Hunter Renfrow,70,86,22
Curtis Riley,70,90,27
Jaylon Ferguson,70,88,23
Michael Floyd,70,87,29
Justice Hill,70,86,21
Matt Skura,70,90,26
Ryan Anderson,70,89,25
Jon Bostic,70,85,28
Shaun Dion Hamilton,70,78,23
Terry McLaurin,70,91,22
Trey Quinn,70,87,23
Greg Stroman,70,87,23
Javorius Allen,70,89,28
Mario Edwards Jr,70,82,25
Chauncey Gardner-Johnson,70,88,21
Wes Horton,70,88,29
Jamar Taylor,70,85,28
Roosevelt Nix,70,90,27
Jaylen Samuels,70,91,23
LeShaun Sims,70,89,25
Brent Urban,70,73,28
Mike Hughes,70,93,22
Brian O'Neill,70,93,23
Stephen Weatherly,70,88,25
Taiwan Jones,70,88,31
Senio Kelemete,70,84,29
Nick Martin,70,85,26
Brennan Scarlett,70,76,26
Kahale Warring,70,89,22
Kevin Pierre-Louis,69,85,27
Sherrick McManis,69,76,31
Riley Ridley,69,89,23
Cody Core,69,88,25
Clayton Fejedelem,69,92,26
Ryan Glasgow,69,87,25
Auden Tate,69,91,22
Kerry Wynn,69,94,28
Eddie Yarbrough,69,81,26
Dalton Risner,69,85,24
Dekoda Watson,69,84,31
Phillip Gaines,69,87,28
Greg Joseph,69,85,25
Damion Ratley,69,90,24
M.J. Stewart Jr,69,93,23
Zach Allen,69,92,22
Rodney Gunter,69,88,27
Trent Sherfield,69,90,23
Deionte Thompson,69,86,22
Dylan Cantrell,69,86,25
Drue Tranquill,69,81,24
Kyzir White,69,88,23
Jordan Lucas,69,87,26
Dorian O'Daniel,69,90,24
Juan Thornhill,69,88,23
Ben Banogu,69,89,23
Nate Hairston,69,90,25
Anthony Walker Jr,69,93,24
Kavon Frazier,69,91,25
Rico Gathers,69,89,25
Justin March-Lillard,69,80,26
Joe Looney,69,85,29
Jamize Olawale,69,92,30
Cedrick Wilson,69,88,23
Torry McTyer,69,88,24
Nate Orchard,69,90,25
Clive Walford,69,88,27
Charles Johnson,69,90,30
Cameron Johnston,69,91,27
James Carpenter,69,85,30
Richie James Jr,69,86,23
Riley Dixon,69,88,26
Julian Love,69,90,21
Rod Smith,69,89,27
Leon Jacobs,69,87,23
Cam Robinson,69,93,23
Tarell Basham,69,93,25
Trenton Cannon,69,88,25
Elijah McGuire,69,87,25
Parry Nickerson,69,80,24
Eric Tomlinson,69,91,27
Trevon Wesco,69,85,23
Andrew Adams,69,88,26
Jahlani Tavai,69,84,22
Reggie Gilbert,69,94,26
Elgton Jenkins,69,93,23
Jake Kumerow,69,82,27
Vernon Butler Jr,69,90,25
Colin Jones,69,88,31
Stephen Anderson,69,87,26
Braxton Berrios,69,82,23
Terrence Brooks,69,83,27
Adam Butler,69,89,25
Damien Harris,69,86,22
Ryan Izzo,69,87,23
Chase Winovich,69,87,23
Johnathan Abram,69,90,22
Marcell Ateman,69,88,24
Daniel Carlson,69,91,24
Derek Carrier,69,86,29
Dwayne Harris,69,88,31
Foster Moreau,69,89,22
Trayvon Mullen,69,87,21
Nick Nelson,69,91,22
Jordan Richards,69,93,26
Blake Bortles,69,96,27
David Long,69,89,21
Jeremy Sprinkle,69,89,25
Keith Kirkwood,69,87,24
Sylvester Williams,69,93,30
Ben Burr-Kirven,69,87,21
L.J. Collier,69,89,23
Shaquem Griffin,69,91,24
Gary Jennings,69,90,22
Nazair Jones,69,86,24
Chris Boswell,69,92,28
Diontae Johnson,69,89,23
Benny Snell Jr,69,93,21
Justin Layne,69,90,21
Shamar Stephen,69,90,28
Johnson Bademosi,69,93,29
Matt Kalil,69,88,30
Ben Braunecker,68,87,25
Jonathan Bullard,68,89,25
Marvin Hall,68,86,26
Roy Robertson-Harris,68,87,26
Eddy Pineiro,68,85,23
Javon Wims,68,90,24
Malik Jefferson,68,86,22
Germaine Pratt,68,83,23
KeiVarae Russell,68,86,25
B.W. Webb,68,90,29
Renell Wren,68,91,23
Cody Ford,68,85,22
Dawson Knox,68,83,22
Dean Marlowe,68,92,27
Zach Kerr,68,82,29
Shamarko Thomas,68,84,28
DeMarcus Walker,68,92,24
Isaac Yiadom,68,86,23
Pharaoh Brown,68,80,25
Trevon Coley,68,88,25
Carl Davis,68,84,27
Deone Bucannon,68,92,27
Jamel Dean,68,78,24
Mike Edwards,68,86,23
Ronald Jones II,68,85,22
Cairo Santos,68,80,27
Donovan Smith,68,87,26
Ryan Smith,68,88,25
Justin Watson,68,90,24
Darrell Daniels,68,87,24
Brandon Williams,68,91,26
Michael Schofield III,68,94,28
Tanoh Kpassagnon,68,88,25
George Odum,68,87,25
Zach Pascal,68,86,24
Xavier Su'a-Filo,68,93,28
Tony Pollard,68,89,22
Joe Thomas,68,90,28
Darian Thompson,68,88,25
Isaiah Ford,68,89,23
Mark Walton Jr,68,87,22
Treyvon Hester,68,90,26
Donnel Pumphrey Jr,68,86,24
Boston Scott,68,87,24
Jamon Brown,68,91,26
Bruce Carter,68,77,31
Ra'Shede Hageman,68,94,29
Steven Means,68,93,28
Duke Riley,68,88,25
Kendall Sheffield,68,83,23
J.J. Wilcox,68,86,28
Antone Exum Jr,68,81,28
Jalen Hurd,68,84,23
David Mayo,68,78,26
Nick Mullens,68,85,24
Mitch Wishnowsky,68,84,27
Elijhaa Penny,68,83,26
Olsen Pierre,68,90,28
Mike Remmers,68,89,30
Darius Slayton,68,87,22
Oshane Ximines,68,88,22
Daniel Brown,68,89,27
Blake Cashman,68,82,23
Matt Darr,68,92,27
Frankie Luvu,68,89,22
Amani Oruwariye,68,87,23
Teez Tabor,68,90,22
Logan Thomas,68,88,28
Trevor Davis,68,88,26
Kyle Love,68,84,32
Shilique Calhoun,68,91,27
Keion Crossen,68,89,23
Derek Rivers,68,90,25
James Cowser,68,87,28
Erik Harris,68,89,29
Eddie Vanderdoes,68,85,24
Darren Waller,68,91,26
Ogbonnia Okoronkwo,68,90,24
Taylor Rapp,68,91,21
Jaleel Scott,68,89,24
Brian Quick,68,87,30
Vince Biegel,68,85,26
Austin Carr,68,88,25
Dwayne Washington,68,81,25
Cody Barton,68,84,22
George Fant,68,86,27
Rasheem Green,68,88,22
Quinton Jefferson,68,86,26
Jacob Martin,68,90,23
Anthony Chickillo,68,92,26
B.J. Finney,68,92,27
Xavier Grimble,68,90,26
Johnny Holton,68,87,28
Anthony Firkser,68,86,24
Amani Hooker,68,86,21
Austin Johnson,68,89,25
D'Andre Walker,68,86,22
Tyler Conklin,68,84,24
Brett Jones,68,86,28
Alexander Mattison,68,88,21
Jordan Taylor,68,86,27
Angelo Blackson,68,90,26
Brandon Dunn,68,90,26
Lonnie Johnson Jr,68,88,23
Emanuel Hall,67,84,22
Rodney Anderson,67,79,22
Jordan Evans,67,91,24
Kevin Huber,67,95,34
Josh Malone,67,89,23
Russell Bodine,67,93,27
Patrick DiMarco,67,92,30
Ray-Ray McCloud III,67,91,22
Ryan Lewis,67,89,25
Tommy Sweeney,67,89,24
Dre'Mont Jones,67,89,22
Drew Lock,67,94,22
Tim Patrick,67,77,25
Orson Charles,67,89,28
Kendall Lamm,67,93,27
Chris Smith,67,93,27
Adarius Taylor,67,89,28
Jeremiah Ledbetter,67,91,25
Rudy Ford,67,88,24
KeeSean Johnson,67,90,22
Terrell McClain,67,87,31
Sean Culkin,67,88,26
Isaac Rochell,67,94,24
Damion Square,67,87,30
Cameron Erving,67,93,27
Charvarius Ward,67,88,23
David Wells,67,89,24
Matthew Adams,67,90,23
Deon Cain,67,92,23
Reece Fountain,67,90,23
Marcus Johnson,67,86,25
Daniel Ross,67,82,26
Devin Smith,67,76,27
Chase Allen,67,89,26
Tank Carradine,67,81,29
Jayrone Elliott,67,92,27
Mike Hull,67,89,28
Daniel Kilgore,67,87,31
Durham Smythe,67,85,24
Cordrea Tankersley,67,93,25
Blake Countess,67,88,26
Nathan Gerry,67,87,24
Daeshon Hall,67,90,24
John Cominsky,67,93,23
Kaleb McGary,67,88,24
D.J. Jones,67,92,24
Greg Mabin,67,77,25
John Jenkins,67,88,30
Avery Moss,67,88,24
D.J. Alexander,67,81,27
Benny Cunningham,67,84,29
Datone Jones,67,87,29
Jarrod Wilson,67,91,25
Chandler Catanzaro,67,93,28
Bronson Kaufusi,67,90,28
Nick Bawden,67,90,23
Marcus Cooper Sr,67,93,29
Will Harris,67,90,23
Isaac Nauta,67,91,22
Tony Brown,67,89,24
J'Mon Moore,67,89,24
Alex Armah,67,95,25
Cameron Artis-Payne,67,90,29
Rashaan Gaulden,67,88,24
Brandon Bolden,67,86,29
Duke Dawson Jr,67,91,23
Ufomba Kamalu,67,89,26
Ted Karras,67,92,26
Maxx Crosby,67,90,22
Isaiah Johnson,67,85,23
Nicholas Morrow,67,80,24
Johnny Townsend,67,89,24
Kyle Wilber,67,88,30
Justin Davis,67,88,23
John Franklin-Myers,67,90,22
Greg Gaines,67,88,23
Anthony Averett,67,92,24
Justin Bethel,67,93,29
James Hurst,67,87,27
Cyrus Jones,67,88,25
Iman Lewis-Marshall,67,85,22
Daylon Mack,67,89,22
Matt Flanagan,67,87,24
Kelvin Harmon,67,91,22
Erik McCoy,67,91,22
Ugochukwu Amadi,67,89,22
Marquise Blair,67,85,22
Austin Calitro,67,86,25
Delano Hill,67,91,23
Jordan Dangerfield,67,87,28
Cameron Sutton,67,88,24
Keith Towbridge,67,86,24
Cole Wick,67,86,25
Mike Boone,67,79,24
Cole Hikutini,67,91,25
Jaleel Johnson,67,93,25
Riley Reiff,67,92,30
Dru Samia,67,90,22
DeAndre Carter,67,88,26
Tytus Howard,67,87,23
Bradley Sowell,66,91,30
Cethan Carter,66,85,25
Stanley Morgan Jr,66,88,22
Hardy Nickerson,66,90,25
Mason Schreck,66,86,25
Trayveon Williams,66,88,21
Maurice Alexander,66,89,28
Corey Bojorquez,66,87,23
Deon Lacey,66,84,29
River Cracraft,66,79,24
Justin Hollins,66,86,23
Elijah Wilkinson,66,88,24
Lenzy Pipkins,66,80,25
Sheldrick Redwine,66,88,22
Austin Seibert,66,86,22
Chad Thomas,66,90,23
Jermaine Whitehead,66,89,26
Scott Miller,66,88,22
Anthony Nelson,66,88,22
Michael Dogbe,66,89,23
Lamont Gaillard,66,88,23
Tanner Vallejo,66,84,24
Caleb Wilson,66,86,23
Dan Feeney,66,87,25
Justin Jones,66,89,23
Byron Pringle,66,85,25
Andrew Wylie,66,84,25
Billy Brown,66,85,26
Jalen Collins,66,85,26
Zaire Franklin,66,91,23
Marvell Tell III,66,86,23
Al-Quadin Muhammad,66,91,24
Bobby Okereke,66,90,23
Carroll Phillips,66,91,26
Khari Willis,66,89,23
Cameron Fleming,66,93,26
Michael Jackson Sr,66,87,22
Walt Aikens,66,93,28
Jesse Davis,66,88,27
L.J. Fort,66,92,29
Josh Hawkins,66,85,26
Shareef Miller,66,90,22
Hassan Ridgeway,66,82,24
Halapoulivaati Vaitai,66,91,26
Stefen Wisniewski,66,94,30
Wes Schweitzer,66,89,25
Justin Zimmer,66,90,26
Jonathan Brown,66,86,26
Marcell Harris,66,82,25
D.J. Reed Jr,66,88,22
Elijah Lee,66,93,23
Mark Nzeocha,66,75,29
LaRoy Reynolds,66,88,28
Jullian Taylor,66,78,24
Corey Ballentine,66,88,23
Sam Beal,66,86,23
Jon Halapio,66,77,28
Tony Lippett,66,90,27
Paul Perkins,66,85,24
Lerentee McCray,66,78,29
James Onwualu,66,94,24
Thomas Rawls,66,85,26
Ramik Wilson,66,88,27
Deontay Burnett,66,83,21
Tom Compton,66,94,30
Doug Middleton,66,87,25
Austin Bryant,66,85,22
Tyrell Crosby,66,87,23
Travis Fulgham,66,91,23
Ty Johnson,66,88,21
Mitchell Loewen,66,88,26
Jalen Reeves-Maybin,66,86,24
Montravius Adams,66,94,24
Kapri Bibbs,66,90,26
Equanimeous St. Brown,66,88,22
Ka'Dar Hollman,66,89,24
Robert Tonyan,66,85,25
Danny Vitale,66,90,25
Dexter Williams,66,88,22
Javien Elliott,66,87,26
Will Grier,66,89,24
Marquis Haynes,66,91,25
Jake Bailey,66,84,22
Keionta Davis,66,87,25
Nate Ebner,66,92,30
Gabe Wright,66,90,27
Bryce Hager,66,83,27
John Kelly,66,88,22
Micah Kiser,66,91,24
Robert Griffin III,66,78,29
Jordan Lasley,66,91,22
Troy Apke,66,92,24
Caleb Brantley,66,88,24
Garrett Griffin,66,88,25
Marcus Sherels,66,88,31
Jamie Meder,66,91,28
C.J. Prosise,66,75,25
Tyrone Swoopes,66,85,24
Dan McCullers,66,88,27
Chukwuma Okorafor,66,91,22
Sutton Smith,66,87,23
Cameron Batson,66,87,23
Dane Cruikshank,66,92,24
Armon Watts,66,87,23
Eric Wilson,66,87,24
Jerell Adams,66,86,26
Johnnie Dixon,66,79,24
Joel Heath,66,89,26
Carlos Watkins,66,91,25
Kylie Fitts,65,84,24
Kevin Toliver II,65,81,23
Isaiah Irving,65,87,25
Joel Iyiegbuniwe,65,81,23
Nick Williams,65,93,29
Andrew Brown,65,86,23
Jordan Franks,65,86,23
Darius Phillips,65,87,23
Alex Redmond,65,78,24
Christian Ringo,65,85,27
Jaquan Johnson,65,85,23
Jordan Phillips,65,75,26
Aaron Wallace,65,88,26
Juwann Winfree,65,85,22
Ray-Ray Armstrong,65,88,28
Dontrell Hilliard,65,88,24
Antony Auclair,65,86,26
Devante Bond,65,87,26
Kentrell Brice,65,86,25
Isaiah Johnson,65,90,26
Anthony Johnson,65,90,23
Corey Nelson,65,89,27
Rakeem Nunez-Roches,65,81,26
Jordan Whitehead,65,84,22
Brett Hundley,65,90,26
Josh Shaw,65,78,27
Vincent Valentine,65,85,25
Geremy Davis,65,83,27
Anthony Lanier II,65,88,26
Rayshawn Jenkins,65,84,25
Gehrig Dieter,65,82,26
Jack Fox,65,90,23
Keith Reaser,65,80,28
Tremon Smith,65,90,23
Darwin Thompson,65,90,22
Grover Stewart,65,93,25
Treston DeCoud,65,86,26
Myles Gaskin,65,90,21
Tyrone Holmes,65,91,25
Jordan Mills,65,93,28
Adolphus Washington,65,88,26
Jonathan Woodard,65,89,25
Marcus Green,65,89,23
Kemal Ishmael,65,89,28
Jordan Miller,65,83,22
Sharrod Neasman,65,88,27
Ben Garland,65,92,31
Jeff Wilson Jr,65,81,23
Kapron Lewis-Moore,65,73,29
Tarvarius Moore,65,89,23
Kaden Smith,65,85,22
Kentavius Street,65,88,23
Cedric Thornton,65,89,31
Ryan Connelly,65,88,23
Spencer Pulley,65,89,26
Ryquell Armstead,65,87,22
Josh Wells,65,90,28
Quincy Williams,65,85,23
James Burgess Jr,65,89,25
Greg Dortch,65,85,21
Chuma Edoga,65,83,22
Jonotthan Harrison,65,94,28
Jalin Moore,65,83,23
Charone Peake,65,82,26
Jamal Agnew,65,87,24
Jerome Cunningham,65,86,28
Eric Lee,65,86,25
Tommylee Lewis,65,84,26
Evan Baylis,65,82,25
Oren Burks,65,88,24
Kingsley Keke,65,87,22
Deon Simon,65,72,29
Corn Elder,65,90,24
Terry Godwin II,65,89,21
Greg Little,65,89,21
Kai Nacua,65,88,24
David Parry,65,78,27
Matthew Slater,65,90,33
KhaDarel Hodge,65,88,24
Justin Lawler,65,92,24
Johnny Mundt,65,86,24
Joseph Noteboom,65,90,24
Austin Proehl,65,85,23
Chuck Clark,65,93,24
DeShon Elliott,65,88,22
Jehu Chesson,65,88,25
Geron Christian Sr,65,90,22
Ereck Flowers,65,84,25
Marquis Flowers,65,91,27
Cole Holcomb,65,91,23
Cassanova McKinzy,65,86,26
Cam Sims,65,86,23
Chris Banjo,65,88,29
Michael Burton,65,91,27
Justin Hardee,65,80,25
Taylor Stallworth,65,87,24
Demarcus Christmas,65,92,24
Phil Haynes,65,89,23
John Ursua,65,88,25
Matt Feiler,65,87,27
Mason Rudolph,65,91,24
Nate Davis,65,87,22
Darius Jennings,65,90,27
Kentrell Brothers,65,92,26
Jalyn Holmes,65,90,23
Peter Kalambayi,65,90,24
Max Scharping,65,86,23
Moritz Boehringer,64,91,25
Deshaun Davis,64,84,22
Bobby Hart,64,93,25
Chris Worley,64,83,23
Matt Barkley,64,87,28
Vladimir Ducasse,64,89,31
Tyree Jackson,64,86,21
Vosean Joseph,64,87,21
Siran Neal,64,92,25
David Sills V,64,84,23
Corey Thompson,64,79,25
Brendan Langley,64,91,24
Dymonte Thomas,64,87,25
Colby Wadman,64,87,24
DeShawn Williams,64,88,26
Drew Forbes,64,86,22
Derrick Willies,64,77,24
Mack Wilson,64,86,21
Alex Cappa,64,91,24
Tanner Hudson,64,87,24
Evan Smith,64,88,33
Earl Watford,64,95,29
Shaun Wilson,64,88,23
Pharoh Cooper,64,88,24
Zane Gonzalez,64,86,24
Colby Gossett,64,91,24
A.Q. Shipley,64,87,33
Pita Taumoepenu,64,92,25
Ty Long,64,84,26
T.Y. McGill,64,90,26
Andre Patton,64,84,25
Blake Bell,64,84,28
Deon Yelder,64,85,24
Evan Boehm,64,89,26
Gerri Green,64,89,23
Steve Ishmael,64,86,24
Ahmad Thomas,64,86,24
C.J. Goodwin,64,91,29
Joe Jackson,64,91,22
Connor McGovern,64,90,21
Mike Weber,64,88,22
Chandler Cox,64,89,23
Michael Deiter,64,90,22
Andrew Van Ginkel,64,87,24
Maurice Smith,64,87,24
Michael Bennett,64,86,26
Jermaine Grace,64,89,25
Chris Odom,64,85,24
Qadree Ollison,64,90,22
Ty Sambrailo,64,90,27
Sean Chandler,64,88,23
Dontavius Russell,64,88,23
Neville Hewitt,64,88,26
Harvey Langi,64,93,26
Tim White,64,85,25
Natrell Jamerson,64,88,23
Allen Lazard,64,81,23
Mike Tyson,64,92,26
Jermaine Carter Jr,64,90,24
Lorenzo Doss,64,92,25
Jason Vander Laan,64,88,26
Tyler Larsen,64,96,28
Christian Miller,64,86,23
Efe Obada,64,87,27
Rashad Ross,64,88,29
Jordan Scarlett,64,91,23
Destiny Vaeao,64,86,25
Brian Hoyer,64,84,33
Jason Cabinda,64,83,23
Josh Carraway,64,89,25
Marqui Christian,64,88,24
Bobby Evans Jr,64,86,22
Tanzel Smart,64,88,24
Trevon Young,64,66,24
Tyler Ervin,64,86,25
Ben Powers,64,90,22
Zach Sieler,64,88,23
De'Lance Turner,64,86,24
Adonis Alexander,64,85,22
Deshazor Everett,64,89,27
Jimmy Moreland,64,88,24
Tim Settle,64,89,22
Lil'Jordan Humphrey,64,89,21
Branden Jackson,64,87,26
Neiko Thorpe,64,92,29
Trey Edmunds,64,81,24
Tyler Matakevich,64,91,26
Sharif Finch,64,83,23
Michael Jordan,64,87,25
Kalif Raymond,64,86,25
Chad Beebe,64,80,25
Tashawn Bower,64,88,24
Aviante Collins,64,87,26
Olabisi Johnson,64,90,22
Jayron Kearse,64,91,25
Dillon Mitchell,64,89,22
Cameron Smith,64,81,22
Roc Thomas,64,86,23
Xavier Crawford,64,83,23
Trevor Daniel,64,84,24
Cullen Gillaspia,64,91,24
A.J. Moore,64,87,23
Deon Bush,63,89,26
Chase Daniel,63,90,32
Dax Raymond,63,86,24
Kerrith Whyte,63,87,22
Demetrious Cox,63,90,25
Trey Hopkins,63,91,27
Victor Bolden Jr,63,91,24
Darryl Johnson Jr,63,88,22
Spencer Long,63,80,28
Mike Love,63,79,25
Julian Stanford,63,87,28
LaAdrian Waddle,63,88,28
Aaron Burbridge,63,90,25
Bug Howard,63,91,24
Khalfani Muhammad,63,83,24
Bryan Witzmann,63,94,29
Bobo Wilson Jr,63,87,24
Joe Walker,63,90,26
Patrick Afriyie,63,84,22
Cortez Broughton,63,86,23
Emeke Egbule,63,90,22
Detrez Newsome,63,83,25
Jamal Custis,63,86,23
Justin Hamilton,63,87,26
Joey Ivie,63,88,24
Harold Jones-Quartey,63,91,25
Armani Watts,63,81,23
Darrel Williams,63,89,24
Boobie Williams,63,89,23
Joe Haeg,63,92,26
Jihad Ward,63,87,25
Lance Lenoir,63,88,24
Kasey Redfern,63,83,27
Jonathan Ledbetter,63,88,21
Tre Sullivan,63,83,25
Devin Gray,63,88,23
Brian Hill,63,95,23
Ricky Ortiz,63,85,25
Joshua Garnett,63,90,25
Dre Greenlaw,63,85,22
Tim Harris,63,80,24
Keion Adams,63,92,24
Tae Davis,63,86,23
Daniel Jones,63,87,22
RJ McIntosh,63,91,23
Kamrin Moore,63,82,22
Scott Simonson,63,88,27
Nathan Stupar,63,92,31
Eli Ankou,63,86,25
Tyre Brady,63,85,24
Najee Goode,63,88,30
C.J. Reavis,63,84,23
Oday Aboushi,63,95,28
Malik Carney,63,86,23
Andy Jones,63,89,25
Steve Longa,63,88,24
Brandon Powell,63,87,23
Charles Washington,63,88,26
Kenny Wiggins,63,92,31
Jawill Davis,63,83,24
Sam Ficken,63,85,26
DeShone Kizer,63,93,23
James Looney,63,94,24
Will Redmond,63,87,25
Chandon Sullivan,63,91,23
Ty Summers,63,83,23
Billy Turner,63,93,27
Bryan Cox Jr,63,85,25
Woodrow Hamilton,63,88,26
Temarrick Hemingway,63,89,26
Elijah Holyfield,63,88,21
Greg Van Roten,63,91,29
DeAndrew White,63,68,27
Byron Cowart,63,85,22
Christian Sam,63,81,23
Ken Webster,63,82,23
Alex Barrett,63,88,25
Saeed Blacknall,63,86,23
Paul Butler,63,84,26
Brandon Parker,63,94,23
Sebastian Joseph-Day,63,90,24
Donte Deayon,63,88,25
Stanley Jean-Baptiste,63,83,29
Bradley Bozeman,63,88,24
Kaare Vedvik,63,85,25
Robert Davis,63,89,24
Darvin Kidsy,63,87,24
Wes Martin,63,88,23
Christian Campbell,63,87,23
Simmie Cobbs Jr,63,86,24
Carl Granderson,63,84,22
Marwin Evans,63,92,26
Travis Homer,63,92,21
Brian Allen,63,90,25
Isaiah Buggs,63,88,23
Joshua Dobbs,63,84,24
Zach Gentry,63,88,22
Alex Barnes,63,91,22
Daren Bates,63,88,28
Dennis Kelly,63,92,29
Gimel President,63,85,26
Jalen Tolliver,63,87,23
Ade Aruna,63,86,25
Duke Thomas,63,90,25
Brandon Zylstra,63,86,26
Seantrel Henderson,63,80,27
Albert Huggins Jr,63,89,22
Martinas Rankin,63,87,24
DeAndre Houston-Carson,62,89,26
Duke Shelley,62,84,22
Jordan Brown,62,88,23
Trayvon Henderson,62,85,24
Tony McRae,62,89,26
Da'Mari Scott,62,83,24
A.J. Johnson,62,86,27
Joseph Jones,62,89,25
Trey Marshall,62,88,23
Daniel Ekuale,62,86,25
Charley Hughlett,62,90,29
Eric Kush,62,87,29
Wyatt Ray,62,88,22
Jack Cichy,62,83,23
Donnie Ernsberger,62,93,22
DaMarkus Lodge,62,90,21
Mason Cole,62,93,23
Cameron Malveaux,62,86,24
Daniel Helm,62,89,24
Trey Pipkins III,62,88,22
Easton Stick,62,92,22
Rashad Fenton,62,88,22
Marcus Kemp,62,83,24
Isaiah Johnson,62,88,27
Chris Milton,62,92,26
Skai Moore,62,85,24
Chris Covington,62,88,23
Darius Jackson,62,89,25
Daniel Wise,62,91,23
Cornell Armstrong,62,87,23
Joey Mbu,62,90,26
Kendrick Norton,62,88,22
Jeremiah McKinnon,62,88,26
Joe Ostman,62,83,24
Ryan Neal,62,87,23
Blidi Wreh-Wilson,62,85,29
Garrett Dickerson,62,86,23
Kyle Lauletta,62,88,24
Alex Wesley,62,87,23
Tre Herndon,62,83,23
Brandon Thomas,62,76,28
Andrew Wingard,62,89,22
Blessuan Austin,62,78,23
Folorunso Fatukasi,62,88,24
J.J. Jones,62,80,26
Brent Qvale,62,88,28
Tre Lamar III,62,84,21
PJ Johnson,62,83,23
Darius Kilgo,62,88,27
Fadol Brown,62,86,26
Elijah Qualls,62,89,24
Andre Smith,62,86,22
Denzelle Good,62,84,28
Keon Hatcher,62,88,24
Denver Kirkland,62,91,25
Dallin Leavitt,62,85,25
Keith Smith,62,90,27
Brian Allen,62,89,23
Kendall Blanton,62,86,23
Matt Colburn II,62,89,21
Mike Thomas,62,90,25
Quincy Adeboyejo,62,88,24
Jordan Brailford,62,80,23
Danny Johnson,62,88,23
Colt McCoy,62,88,32
Ross Pierschbacher,62,86,24
Elijah Wellman,62,88,24
Nick Easton,62,91,27
Kaden Elliss,62,86,24
Geneo Grissom,62,83,27
Alize Mack,62,87,22
Darnell Sankey,62,85,24
Akeem King,62,90,27
Shalom Luani,62,89,25
Bo Scarbrough,62,85,22
Olasunkanmi Adeniyi,62,83,21
Marcus Allen,62,92,23
Ulysees Gilbert III,62,89,22
Casey Sayles,62,89,23
Tyler Marz,62,82,26
Reshard Cliett,62,86,27
Devante Downs,62,84,23
Marcus Epps,62,88,23
Rashod Hill,62,87,27
Danny Isidora,62,86,25
Ifeadi Odenigbo,62,88,25
Julie'n Davenport,62,91,24
Jermaine Kelly Jr,62,87,24
A.J. McCarron,62,93,28
Charles Omenihu,62,89,22
Vyncint Smith,62,85,23
Abdullah Anderson,61,87,23
T.J. Clemmings,61,92,27
Jordan Williams-Lambert,61,87,25
James Vaughters,61,86,26
Jeff Driskel,61,89,26
Quinton Flowers,61,88,24
Josh Tupou,61,84,25
