Player,2020_Overall,2020_Age,2020_Injury
Elandon Roberts,71,26,87
Ashtyn Davis,71,23,87
Josh Jackson,71,24,90
Grant Haley,71,24,86
David Long Jr,71,22,89
Andrew Adams,71,27,88
Corey Coleman,71,26,86
A.J. Cann,71,28,93
Ameer Abdullah,71,27,84
Devin Duvernay,71,22,92
Chris Moore,71,27,89
Nick Martin,71,27,85
Barkevious Mingo,70,29,90
Germaine Pratt,70,24,83
KeeSean Johnson,70,23,90
Kyzir White,70,24,88
Tanoh Kpassagnon,70,26,88
Chad Williams,70,25,88
Devin Smith,70,28,76
Isaac Seumalo,70,26,87
Greg Stroman,70,24,87
Justin Layne,70,22,90
Amani Hooker,70,22,86
Blake Cashman,70,24,80
Jesse James,70,26,91
Brandon Bolden,70,30,86
Van Jefferson,70,24,87
Jacob Martin,70,24,90
Cody Ford,70,23,85
Andre Roberts,70,32,88
K.J. Hamler,70,21,86
Josey Jewell,70,25,91
Ben Banogu,70,24,89
Marcus Johnson,70,26,86
Dwayne Haskins Jr,70,23,91
Neville Gallimore,70,23,92
Gardner Minshew II,70,24,92
Greg Ward Jr,70,25,87
Rayshawn Jenkins,70,26,84
Jamar Taylor,70,29,85
Joejuan Williams,70,22,91
Parry Nickerson,70,25,80
Deionte Thompson,70,23,86
Dawuane Smoot,70,25,91
Denzel Mims,70,22,93
Jordan Willis,70,25,93
Jarrad Davis,70,24,85
Zack Moss,70,22,86
Chase Claypool,70,22,87
Cole Kmet,70,21,86
Quinton Jefferson,70,27,86
Vincent Taylor,70,26,92
Jeff Heuerman,70,27,84
Justin Jones,70,24,89
Noah Brown,70,24,86
Ted Karras,70,27,92
Clayton Fejedelem,70,27,92
Jeremy Chinn,70,22,84
Jimmy Moreland,70,25,88
Elijhaa Penny,70,27,83
Nate Solder,70,32,87
Tarell Basham,70,26,93
Braxton Berrios,70,24,82
T.J. Logan,70,25,89
Josh Adams,70,23,87
Jake Kumerow,70,28,82
Ian Thomas,70,24,84
Jakobi Meyers,70,23,87
Mario Edwards Jr,70,26,82
Nate Davis,70,23,87
Tim Patrick,70,26,77
Dorian O'Daniel,70,25,90
Roosevelt Nix,70,28,90
Drew Lock,70,23,92
Kamu Grugier-Hill,70,26,92
Sterling Hofrichter,70,23,81
Justin Evans,70,25,87
Marvell Tell III,70,24,86
Rashad Fenton,70,23,88
Logan Cooke,70,25,87
Davon Hamilton,70,23,90
Jawaan Taylor,70,22,90
Morgan Fox,70,25,91
Deonte Harris,70,22,80
Max Scharping,70,24,86
Ifeadi Odenigbo,70,26,88
Germain Ifedi,70,26,87
Jake Butt,70,25,81
DaeSean Hamilton,70,25,92
Matt Gay,70,26,85
Donovan Smith,70,27,87
Taco Charlton,70,25,94
Justin Herbert,70,22,88
Kai Forbath,70,32,87
Damon Arnette Jr,70,23,86
Noah Igbinoghene,70,20,83
A.J. Terrell,70,21,91
Artie Burns,70,25,87
Devontae Booker,70,28,90
Zach Kerr,70,30,82
Chris Manhertz,70,28,86
Bryan Edwards,70,21,88
Arden Key,70,24,87
Riley Ridley,69,24,89
Ryan Glasgow,69,26,87
McTelvin Agim,69,22,92
Garett Bolles,69,28,87
Byron Pringle,69,26,85
Cedrick Wilson,69,24,88
Kristian Fulton,69,21,88
Jayron Kearse,69,26,91
Julian Blackmon,69,22,83
Jordan Lucas,69,27,87
Damien Harris,69,23,86
Stephen Weatherly,69,26,88
Darrynton Evans,69,22,89
Daniel Carlson,69,25,91
Darrell Taylor,69,23,88
Reggie Gilbert,69,27,94
Jeremiah Attaochu,69,27,87
Damion Ratley,69,25,90
Kevin Minter,69,29,86
Leki Fotu,69,22,89
Joe Looney,69,30,85
Justin March,69,27,80
Jamize Olawale,69,31,92
Tyrod Taylor,69,31,89
Ryan Allen,69,30,95
Deone Bucannon,69,28,92
John Cominsky,69,24,93
Riley Dixon,69,27,88
Tarvarius Moore,69,24,89
Trevon Diggs,69,22,86
Troy Apke,69,25,92
Dane Cruikshank,69,25,92
Ke'Shawn Vaughn,69,23,92
Patrick Laird,69,25,88
Jermaine Carter Jr,69,25,90
Bo Scarbrough,69,23,85
Justin Rohrwasser,69,23,89
Ogbonnia Okoronkwo,69,25,90
Malik Harrison,69,22,84
Bronson Rechsteiner,69,22,86
Luke Willson,69,30,79
Shamar Stephen,69,29,90
Kerry Hyder,69,29,87
Javon Wims,69,25,90
Gabriel Davis,69,21,91
Dre'Mont Jones,69,23,89
DeMarcus Walker,69,25,92
Zach Allen,69,23,92
Lamont Gaillard,69,24,88
Cameron Johnston,69,28,91
Charles Harris,69,25,89
Josh Jones,69,25,88
Sheldrick Redwine,69,23,88
Isaac Yiadom,69,24,86
Ryan Smith,69,26,88
Ibraheim Campbell,69,28,82
Phillip Gaines,69,29,83
Dean Marlowe,69,28,92
Frankie Luvu,69,23,89
Brett Maher,69,30,84
Lane Taylor,69,30,89
Alex Armah Jr,69,26,95
Greg Little,69,22,89
Antonio Gibson,69,22,90
Foster Moreau,69,23,89
Jon Bostic,69,29,85
Antonio Gandy-Golden,69,22,91
Kevin Pierre-Louis,69,28,85
Jordan Thomas,69,24,87
Tyler Bass,69,23,87
Scotty Miller,69,23,88
Trevon Coley,69,26,88
Ricardo Louis,69,26,89
Jamon Brown,69,27,91
Laquon Treadwell,69,25,88
Kavon Frazier,69,26,91
Leon Jacobs,69,24,87
Keion Crossen,69,24,89
Cameron Sutton,69,25,88
Nate Hairston,69,26,90
Quincy Williams,69,24,85
D.J. Reed Jr,69,23,88
Will Harris,69,24,90
Julian Okwara,69,22,88
Lynn Bowden Jr,69,22,91
Zack Baun,69,23,87
Brandon Dunn,69,27,90
Joe Flacco,69,35,93
Andrew Van Ginkel,69,25,87
Andre Dillard,69,24,89
Shelton Gibson,69,26,87
George Odum,69,26,87
LeShaun Sims,69,26,89
Chandon Sullivan,69,24,91
Trenton Cannon,69,26,87
Devin Asiasi,69,23,88
Maurice Harris,69,27,88
Ben Burr-Kirven,69,22,87
Rasheem Green,69,23,87
DeAndre Carter,69,27,88
Anthony Firkser,69,25,86
John Jenkins,68,31,87
Akeem Davis-Gaither,68,22,86
Trey Hopkins,68,28,91
Renell Wren,68,24,91
Patrick DiMarco,68,31,92
Chris Hubbard,68,29,91
Rodrigo Blankenship,68,23,84
Sam Eguavoen,68,27,87
Nathan Gerry,68,25,87
Duke Riley,68,26,88
Levine Toilolo,68,29,79
Cody Davis,68,31,90
Michael Ojemudia,68,22,87
Amik Robertson,68,22,83
Marquis Haynes,68,26,91
Keith Kirkwood,68,25,87
Rodney Anderson,68,23,79
Ty Johnson,68,22,88
Marcell Ateman,68,25,88
Keelan Doss,68,24,86
Sam Sloman,68,22,85
Austin Carr,68,26,88
Sutton Smith,68,24,87
Olabisi Johnson,68,23,90
Jason Croom,68,26,82
Mike Purcell,68,29,87
Malik Reed,68,24,92
Jordan Elliott,68,22,89
Wyatt Teller,68,25,92
Cameron Erving,68,28,93
Mack Hollins,68,26,89
Marcus Mariota,68,26,82
John Hightower,68,24,87
Hassan Ridgeway,68,25,82
Greg Van Roten,68,30,91
Joe Dahl,68,27,90
Darian Thompson,68,26,88
Ugo Amadi,68,23,89
M.J. Stewart Jr,68,24,93
Ryan Lewis,68,26,89
Jordan Richards,68,27,93
Sherrick McManis,68,32,76
Shilique Calhoun,68,28,91
Greg Gaines,68,24,88
Jaleel Scott,68,25,89
Anthony Chickillo,68,27,92
Adam Trautman,68,23,92
Deon Cain,68,24,90
Kalif Raymond,68,26,86
Kevin Huber,68,35,95
Ray-Ray McCloud III,68,23,91
Lloyd Cushenberry III,68,22,91
Forrest Lamp,68,26,92
Alex Smith,68,36,79
Steven Means,68,29,93
Cody Core,68,26,88
David Mayo,68,27,78
Lano Hill,68,24,91
Cordrea Tankersley,68,26,90
Tony Brown,68,25,89
Treyvon Hester,68,27,90
Jace Sternberger,68,23,93
Michael Schofield III,68,29,94
D'Andre Walker,68,23,86
Ben Garland,68,32,92
Trevor Davis,68,27,88
Adam Shaheen,68,25,88
Kendall Lamm,68,28,93
Sione Takitaki,68,24,87
Tyler Johnson,68,22,88
Jalen Hurts,68,22,91
Rodney Gunter,68,28,88
Rashaan Gaulden,68,25,88
Geno Stone,68,21,88
Roderic Teamer Jr,68,23,84
Johnson Bademosi,68,30,92
Isaiah Johnson,68,24,85
Sam Beal,68,24,83
Dwayne Washington,68,26,81
Stefen Wisniewski,68,31,94
Angelo Blackson,68,27,90
Jalen Hurd,68,24,84
Cethan Carter,68,24,85
Nick Vannett,68,27,86
Elijah Wilkinson,68,25,88
Malik Jefferson,68,23,86
Willie Gay Jr,68,22,87
Ben Niemann,68,25,88
George Fant,68,28,86
Harvey Langi,68,27,93
Brandon Jones,68,22,82
Jabari Zuniga,68,23,86
Nick Williams,68,30,93
Josiah Scott,68,21,85
Duke Dawson Jr,68,24,91
Derek Rivers,68,26,90
Darrel Williams,68,25,88
Jihad Ward,68,26,87
Nate Orchard,68,27,90
Jordan Evans,67,25,91
Stanley Morgan Jr,67,23,88
Drew Sample,67,24,88
B.J. Goodson,67,27,89
Sheldon Day,67,26,89
Reece Fountain,67,24,90
Al-Quadin Muhammad,67,25,91
Gary Jennings,67,23,90
Avery Moss,67,25,88
James Carpenter,67,31,85
Younghoe Koo,67,26,91
Kaleb McGary,67,25,88
Josh Oliver,67,23,90
Geremy Davis,67,28,82
Marcell Harris,67,26,82
Rudy Ford,67,25,88
Steven Parker,67,24,91
John Miller,67,27,85
Troy Pride Jr,67,22,87
Nicholas Morrow,67,25,80
Daniel Ross,67,27,82
Brian Hill,67,24,95
John Kelly,67,23,88
Anthony McFarland,67,21,85
Jachai Polite,67,23,86
Amara Darboh,67,26,90
Chad Hansen,67,25,87
Armon Watts,67,24,87
Anthony Nelson,67,23,88
Matthew Adams,67,24,90
Josh Rosen,67,23,86
Matt Hennessy,67,22,85
Austin Johnson,67,26,89
C.J. Board,67,26,86
Halapoulivaati Vaitai,67,27,91
Josiah Deguara,67,23,87
Adrian Colbert,67,26,89
DeShon Elliott,67,23,88
Ka'Dar Hollman,67,25,89
Torry McTyer,67,25,88
Danny Vitale,67,26,90
Terrell Lewis,67,22,82
Michael Burton,67,28,91
Chris Wormley,67,26,90
Tom Compton,67,31,94
Duke Williams,67,28,86
Porter Gustin,67,23,82
Jacob Phillips,67,21,90
Justin Watson,67,25,90
Dalton Schultz,67,24,91
Case Keenum,67,32,85
Davion Taylor,67,22,90
LaRoy Reynolds,67,29,88
John Franklin-Myers,67,23,90
Jonotthan Harrison,67,29,94
Derrick Kindred,67,26,88
Nate Ebner,67,31,92
Iman Lewis-Marshall,67,23,85
Darnay Holmes,67,22,84
Anthony Averett,67,25,92
Tanner Muse,67,23,92
Kyle Wilber,67,31,88
Rod Smith,67,28,89
De'Anthony Thomas,67,27,80
MyCole Pruitt,67,28,84
Dru Samia,67,23,90
Austin Calitro,67,26,86
Billy Price,67,25,87
Chad Thomas,67,24,90
Trent Sherfield,67,24,90
Joe Reed,67,22,89
Isaac Rochell,67,25,94
Collin Johnson,67,22,86
Jaquan Johnson,67,24,85
Jordan Dangerfield,67,29,87
T.J. Green,67,25,88
Corey Ballentine,67,24,88
Greg Mabin,67,26,77
Bryce Hall,67,22,85
L'Jarius Sneed,67,23,89
Anfernee Jennings,67,23,88
Christian Wade,67,29,87
Dare Ogunbowale,67,26,91
Mike Boone,67,25,79
Shy Tuttle,67,24,84
Alex Highsmith,67,23,91
Greg Joseph,67,26,85
Chad Beebe,67,26,80
Jaleel Johnson,67,26,93
Eric Saubert,67,26,91
Xavier Su'a-Filo,67,29,91
Harrison Bryant,67,22,89
Tae Davis,67,24,86
Dan Feeney,67,26,87
Austin Reiter,67,28,91
Jon'Vea Johnson,67,24,91
Robert Hunt,67,24,86
Russell Gage Jr,67,24,89
James Burgess Jr,67,26,89
Austin Bryant,67,23,85
Quintez Cephus,67,22,88
Equanimeous St. Brown,67,23,88
Joshua Kelley,67,22,88
J.J. Taylor,67,22,84
Daylon Mack,67,23,88
Emanuel Hall,67,23,84
L.J. Collier,67,24,89
Eddie Yarbrough,67,27,80
Damion Square,66,31,87
Andrew Wylie,66,26,84
James Crawford,66,25,87
Robert Griffin III,66,30,78
Lerentee McCray,66,30,78
Chuma Edoga,66,23,83
Travis Fulgham,66,24,91
Efe Obada,66,28,87
Kenny Robinson Jr,66,21,90
Justin Bethel,66,30,93
Matt LaCosse,66,27,89
Kevin Toliver II,66,24,81
Cameron Dantzler,66,21,87
Alohi Gilman,66,22,90
Darwin Thompson,66,23,90
La'Mical Perine,66,22,88
Dan McCullers,66,28,88
Cullen Gillaspia,66,25,91
Mark Nzeocha,66,30,75
Darnell Mooney,66,22,85
Damion Willis,66,23,85
Kaare Vedvik,66,26,85
Fred Brown,66,26,87
Jeremiah Ledbetter,66,26,91
Johnnie Dixon,66,25,79
Daeshon Hall,66,25,90
Bronson Kaufusi,66,29,90
Tyrell Crosby,66,24,87
Pharoh Cooper,66,25,88
Jordan Kunaszyk,66,23,88
Corn Elder,66,25,90
Blidi Wreh-Wilson,66,30,85
Tremon Smith,66,24,90
Tyler Ervin,66,26,85
Damien Lewis,66,23,91
Juwann Winfree,66,23,85
KhaDarel Hodge,66,25,88
J'Mon Moore,66,25,89
Alex Cappa,66,25,91
Dan Arnold,66,25,83
Tanner Vallejo,66,25,84
Ryan Winslow,66,26,84
Chase McLaughlin,66,24,81
Nick Mullens,66,25,85
Terry Godwin II,66,23,89
Kyle Phillips,66,23,87
Dalton Keene,66,21,88
Khalfani Muhammad,66,25,83
Myles Gaskin,66,23,90
B.J. Finney,66,28,92
Cameron Batson,66,24,87
Ezra Cleveland,66,22,89
Brett Jones,66,29,86
Troy Fumagalli,66,25,80
Albert Okwuegbunam,66,22,84
Donovan Peoples-Jones,66,21,87
Justin Zimmer,66,27,90
Jaydon Mickens,66,26,81
Jonathan Bullard,66,26,88
Zaire Franklin,66,24,91
Mykal Walker,66,23,91
Ryan Connelly,66,24,88
Elijah Lee,66,24,93
Antoine Brooks Jr,66,22,89
Lenzy Pipkins,66,26,80
Davontae Harris,66,25,83
Josh Hawkins,66,27,85
A.J. Cole III,66,24,90
Eric Kush,66,30,87
Sebastian Joseph-Day,66,25,90
Jeff Wilson Jr,66,24,81
Ryquell Armstead,66,23,87
Khaleke Hudson,66,22,89
Jason Huntley,66,22,87
Phil Haynes,66,24,89
Chukwuma Okorafor,66,23,91
Isaiah Coulter,66,21,86
Bobby Hart,66,26,93
Khalid Kareem,66,22,89
Bryan Cox Jr,66,26,85
Miles Brown,66,22,86
Kylie Fitts,66,25,84
Josh Jones,66,23,86
Mo Alie-Cox,66,26,85
Shareef Miller,66,23,90
Vyncint Smith,66,24,85
Nick Bawden,66,24,89
Dennis Daley,66,24,86
Chris Smith,66,28,93
John Reid,66,24,85
Samaje Perine,66,24,86
Caleb Brantley,66,25,88
James Hurst,66,28,87
Craig Robertson,66,32,87
Jonathan Greenard,66,23,84
Isaiah Irving,65,26,87
Diontae Spencer,65,28,83
Michael Dogbe,65,24,89
Scott Quessenberry,65,25,83
Tommy Townsend,65,23,81
Chandler Cox,65,24,88
Quez Watkins,65,22,88
Cameron Fleming,65,27,93
Spencer Pulley,65,27,89
Neville Hewitt,65,27,88
Kingsley Keke,65,23,87
Deon Bush,65,27,89
Justin Hardee Sr,65,26,80
Reggie Robinson II,65,23,85
Brian Allen,65,24,89
Jordan Miller,65,23,83
Jamal Perry,65,25,88
Micah Kiser,65,25,91
Joseph Noteboom,65,25,90
Troy Reeder,65,25,85
Josh Harvey-Clemons,65,26,88
Richard Rodgers,65,28,87
Cam Sims,65,24,86
Jeremy Sprinkle,65,26,89
Trayveon Williams,65,22,88
Dontrell Hilliard,65,25,88
Karan Higdon,65,23,86
Kahale Warring,65,23,89
Jermaine Grace,65,26,89
Josh Wells,65,29,90
Justin Murray,65,27,87
Ty Long,65,27,84
Grover Stewart,65,26,93
Justin McCray,65,28,88
David Sills V,65,24,84
Kaden Smith,65,23,85
Trevon Wesco,65,24,85
Russell Bodine,65,28,93
Jalen Reeves-Maybin,65,25,86
Montravius Adams,65,25,94
Jakob Johnson,65,25,86
Josh Metellus,65,22,88
Sharrod Neasman,65,28,88
Geron Christian Sr,65,23,90
Dexter Williams,65,23,88
Nick Bellore,65,31,87
Shaun Wilson,65,24,87
Anthony Johnson,65,24,90
Isaiah Mack,65,24,88
Isaiah Wilson,65,21,86
Troy Dye,65,23,88
Cameron Smith,65,23,81
Ross Dwelley,65,25,87
Joe Walker,65,27,90
Devante Bond,65,27,87
Justin Hollins,65,24,86
Trevon Young,65,25,66
Darius Jennings,65,28,90
Michael Deiter,65,23,90
Zach Sieler,65,24,88
Kyle Allen,65,24,89
Olamide Zaccheaus,65,23,88
Joe Giles-Harris,65,23,88
Jack Fox,65,24,90
Darrius Shepherd,65,24,89
Matthew Slater,65,34,90
Brandon Facyson,65,25,82
Darious Williams,65,27,88
Tye Smith,65,27,93
Brycen Hopkins,65,23,89
James Proche,65,23,89
Wes Schweitzer,65,26,89
Nick Easton,65,28,91
Eno Benjamin,65,21,88
Taylor Stallworth,65,25,87
Colby Parkinson,65,21,90
John Ursua,65,26,88
Eddie Vanderdoes,65,25,85
Derick Roberson,65,24,86
K.J. Osborn,65,23,90
Jullian Taylor,65,25,78
Andrew Brown,65,24,86
Tyler Matakevich,65,27,91
Ashton Dulin,65,23,90
Jason Strowbridge,65,23,87
Chris Lacy,65,24,85
Oren Burks,65,25,88
Christian Miller,65,24,86
Chris Banjo,65,30,88
John Simpson,65,23,89
Nate Meadors,65,23,84
Bobby Evans Jr,65,23,86
Deshazor Everett,65,28,88
Ben Powers,65,23,90
Andre Smith,65,33,86
Travis Homer,65,22,92
Demarcus Christmas,65,25,92
Carlos Watkins,65,26,91
Jalyn Holmes,65,24,90
Justin Skule,65,23,87
Trevis Gipson,65,23,90
Joel Iyiegbuniwe,65,24,81
Alex Redmond,65,25,78
Tyler Newsome,65,25,82
Bradlee Anae,65,22,92
Jesse Davis,65,28,88
Dakota Allen,65,24,88
Donovan Wilson,65,25,85
Derek Carrier,65,30,86
Daniel Thomas,65,22,93
Siran Neal,65,26,92
Dontae Johnson,65,28,92
Nick O'Leary,65,28,88
Dane Jackson,65,23,88
Greg Dortch,65,22,85
Wes Martin,65,24,88
Tim Settle,65,23,89
D'Ernest Johnson,65,24,87
Alton Robinson,65,22,91
Senio Kelemete,65,30,84
D.J. Wonnum,65,22,90
Rakeem Nunez-Roches,64,27,81
Stephen Anderson,64,27,87
Curtis Weaver,64,22,89
Austin Larkin,64,25,85
Dontavius Russell,64,24,88
Miles Killebrew,64,27,88
David Edwards,64,23,84
Jaylinn Hawkins,64,23,88
Harrison Hand,64,21,86
Tyre Phillips,64,23,86
C.J. Goodwin,64,30,91
Neiko Thorpe,64,30,92
Juston Burris,64,27,90
Saeed Blacknall,64,24,86
Isaiah Buggs,64,24,88
Qadree Ollison,64,23,90
Ty Sambrailo,64,28,90
Dillon Mitchell,64,23,89
Spencer Long,64,29,80
Corey Thompson,64,26,79
Jonathan Woodard,64,26,89
Joel Heath,64,27,89
Gabe Nabers,64,22,89
Gerri Green,64,24,88
Connor McGovern,64,22,89
Durham Smythe,64,25,85
Carter Coughlin,64,23,92
Michael Walker,64,23,92
Jason Cabinda,64,24,83
Jamal Davis II,64,25,87
Ryan Izzo,64,24,87
Justin Lawler,64,25,90
Doug Middleton,64,26,87
C.J. Reavis,64,24,84
Xavier Crawford,64,24,83
Dont'e Deayon,64,26,88
Tae Hayes,64,23,87
Duke Thomas,64,26,90
Logan Thomas,64,29,88
Tommylee Lewis,64,27,84
Ricky Ortiz,64,26,85
DeeJay Dallas,64,21,90
Trey Edmunds,64,25,81
Cody Hollister,64,26,86
Aviante Collins,64,27,87
Chris Thompson,64,26,84
Josh Tupou,64,26,84
Dylan Cantrell,64,26,86
Emeke Egbule,64,23,90
Matt Barkley,64,29,87
Chris Peace,64,24,86
Daniel Brown,64,28,89
Cameron Clark,64,22,88
Reggie Ragland,64,26,87
Billy Turner,64,28,93
Andrew Soroh,64,24,86
Sean Chandler,64,24,88
Kenny Young,64,24,89
Brian Allen,64,26,90
Ken Webster,64,24,82
Adonis Alexander,64,23,85
Tevaughn Campbell,64,27,84
Cameron Malveaux,64,25,86
Elijah McGuire,64,26,87
Tyler Conklin,64,25,84
Kentavius Street,64,24,82
Isaiah Hodgins,64,21,87
Mike Love,64,26,79
Tommy Sweeney,64,25,89
Justin Strnad,64,24,84
Nick Harris,64,21,87
Rashard Lawrence,64,21,84
K.J. Hill,64,22,92
Andre Patton,64,26,84
Gehrig Dieter,64,27,82
Dezmon Patmon,64,22,89
Austin Jackson,64,21,90
Taysom Hill,64,30,81
Jeff Smith,64,23,90
Tyler Larsen,64,29,96
Austin Corbett,64,24,88
Kentrell Brice,64,26,86
Kindle Vildor,64,22,89
Kevin Peterson,64,26,86
A.J. Moore Jr,64,24,87
Lil'Jordan Humphrey,64,22,89
Taquan Mizzell Sr,64,26,88
Kerrith Whyte Jr,64,23,87
Dennis Kelly,64,30,92
Drew Forbes,64,23,86
Colby Gossett,64,25,91
Elliott Fry,64,25,81
Michael Danna,64,22,90
Lucas Niang,64,22,87
Brandon Powell,64,24,87
Brett Hundley,64,27,90
Matthew Peart,64,23,92
Shaquille Quarterman,64,22,91
Hunter Bryant,64,22,82
Kenny Wiggins,64,32,92
Bravvion Roy,64,23,88
Brandon Parker,64,24,94
Natrell Jamerson,64,24,88
Ben Bredeson,64,22,88
Armani Watts,64,24,81
Darius Jackson,64,26,89
Brandon Shell,64,28,92
Jordan Scarlett,64,24,91
Tony Brooks-James,64,25,87
James Lynch,64,21,89
Kenny Willekes,64,23,89
Jauan Jennings,63,23,85
Alex Wesley,63,24,87
Mike Thomas,63,26,90
Pharaoh Brown,63,26,80
Khalil Davis,63,24,88
Tyler Biadasz,63,22,84
Michael Roberts,63,26,90
Shaun Bradley,63,23,90
Robert Davis,63,25,89
Anthony Rush,63,24,87
Christian Blake,63,24,88
Eric Tomlinson,63,28,91
Will Richardson Jr,63,24,81
Victor Bolden Jr,63,25,91
Broderick Washington Jr,63,23,89
Arthur Maulet,63,27,88
Isaiah Rodgers,63,22,86
Javaris Davis,63,23,84
Nate Brooks,63,23,85
Olasunkanmi Adeniyi,63,22,83
Azeez Al-Shaair,63,23,80
Alex Barrett,63,26,88
James Vaughters,63,27,86
Darryl Johnson Jr,63,23,88
Cortez Broughton,63,24,86
Jack Driscoll,63,23,85
Joe Ostman,63,25,83
Ben Bartch,63,22,87
Joshua Garnett,63,26,90
Isaac Nauta,63,23,91
Christian Sam,63,24,81
Ty Summers,63,24,83
Brandon Zylstra,63,27,86
Nsimba Webster,63,24,84
Patrick Mekari,63,23,86
Kamren Curl,63,21,90
Jermaine Kelly Jr,63,25,87
De'Vante Bausby,63,27,87
Chris Westry,63,23,94
Tim Harris,63,25,80
Freddie Swain,63,22,88
D.J. Foster,63,26,86
Reggie Bonnafon,63,24,88
David Long Jr,63,23,82
Kevin Givens,63,23,87
J.P. Holtz,63,27,91
Brady Sheldon,63,27,84
Vosean Joseph,63,22,87
T.J. Edwards,63,24,90
Casey Toohill,63,24,88
RJ McIntosh,63,24,91
Mason Rudolph,63,25,91
Chase Daniel,63,33,90
Jonah Jackson,63,23,86
Marcus Allen,63,24,92
Andrew Wingard,63,23,89
Trey Marshall,63,24,88
Jordan Fuller,63,22,89
Ryan Neal,63,24,87
Carl Granderson,63,23,84
Simeon Thomas,63,26,90
Jordan Brown,63,24,88
Brandon Watson,63,25,88
Elijah Holyfield,63,22,88
Larrell Murchison,63,23,87
Rashod Hill,63,28,87
Markus Bailey,63,23,78
Jason Moore,63,25,87
E.J. Speed,63,25,85
Julie'n Davenport,63,25,91
Marcus Green,63,24,89
Devin Gray,63,25,88
Khari Lee,63,28,84
Jacob Eason,63,22,90
Woodrow Hamilton,63,27,88
Denzelle Good,63,29,84
Shalom Luani,63,26,89
Marcus Epps,63,24,88
Dallin Leavitt,63,26,85
Charles Washington,63,27,88
Chance Warmack,63,28,93
Kevin Dotson,63,23,94
Tuzar Skipper,63,25,87
Jordan Chunn,63,25,82
Charlie Woerner,63,22,91
Ben Braunecker,63,26,87
Mason Cole,63,24,93
Jalen Guyton,63,23,88
Robert Windsor,63,23,92
Justin Hamilton,63,27,87
Joe Jackson,63,23,91
Albert Huggins Jr,63,23,89
Prince Tega Wanogho,63,22,81
Will Grier,63,25,89
Oday Aboushi,63,29,95
DeAndrew White,63,28,68
Byron Cowart,63,23,85
Jordan Brailford,63,24,80
Trayvon Henderson,63,25,85
James Smith-Williams,63,23,82
Duke Shelley,63,23,84
Davion Davis,63,23,86
Evan Boehm,62,27,89
Jack Cichy,62,24,83
PJ Johnson,62,24,83
Trey Pipkins III,62,23,88
Demone Harris,62,24,87
Alex Singleton,62,26,85
Logan Stenberg,62,23,92
Omar Bayless,62,23,88
Deiondre' Hall,62,26,88
Saquan Hampton,62,23,84
Jamarco Jones,62,24,89
Tony McRae,62,27,89
Deante Burton,62,26,86
Ulysees Gilbert III,62,23,87
Bennett Jackson,62,28,82
Joey Ivie,62,25,88
Daniel Brunskill,62,26,91
Reggie Davis,62,24,85
Jesper Horsted,62,23,87
John Franklin III,62,25,84
Joe Haeg,62,27,92
Jordan Glasgow,62,24,81
Xavier Grimble,62,27,88
Skai Moore,62,25,85
Austin Edwards,62,23,87
Keith Smith,62,28,90
Joshua Dobbs,62,25,84
Easton Stick,62,23,93
Tyler Shatley,62,29,92
Brian Hoyer,62,34,84
Kevin Strong,62,24,84
Chris Board,62,25,88
Saahdiq Charles,62,21,85
J.T. Gray,62,24,87
Cornell Armstrong,62,24,87
Parnell Motley,62,22,90
Craig James,62,24,83
Deatrick Nichols,62,26,91
Quadree Henderson,62,23,87
Jamil Douglas,62,28,93
Jon Hilliman,62,24,89
Joe Jones,62,26,89
Pat O'Connor,62,26,88
Martinas Rankin,62,25,86
Tevin Jones,62,27,89
Trent Harris,62,24,84
Jake Fromm,62,22,96
Andre Smith,62,23,86
Quincy Adeboyejo,62,25,88
Michael Onwenu,62,22,88
Dustin Woodard,62,22,92
Kendall Donnerson,62,24,90
Hale Hentges,62,24,87
Thaddeus Moss,62,22,85
Garrett Griffin,62,26,87
Donnie Lewis Jr,62,24,88
Antonio Hamilton,62,27,87
Kris Boyd,62,23,88
Shakial Taylor,62,23,86
Danny Johnson,62,24,88
Raymond Calais,62,22,87
Daniel Ekuale,62,26,85
Jordan Leggett,62,25,86
Darrell Daniels,62,25,87
Blake Bell,62,29,84
Da'Mari Scott,62,25,83
Frank Herron,62,26,86
John Penisini,62,23,94
Tashawn Bower,62,25,88
Ross Pierschbacher,62,25,86
Brian Cole II,62,23,84
Chris Milton,62,27,92
Devine Ozigbo,62,23,87
DaMarkus Lodge,62,23,90
Malik Carney,62,24,86
Eli Ankou,62,26,86
Ryan Groy,62,29,88
Cole Hikutini,62,26,91
Edmond Robinson,62,28,88
Blaine Gabbert,62,30,90
Jamal Agnew,62,25,87
Kamal Martin,62,22,85
Robert Tonyan,62,26,85
Gerald Willis III,62,25,84
Otaro Alaka,62,24,87
C.J. Moore,62,24,80
BoPete Keyes,62,22,86
Quenton Meeks,62,23,83
Will Redmond,62,26,87
Donald Parham,61,23,86
Devante Downs,61,24,84
Shane Lemieux,61,23,87
Chris Slayton,61,24,89
Jarrett Stidham,61,24,85
Jonathan Garvin,61,21,91
Jordan Devey,61,32,87
Jacob Breeland,61,23,81
Jamal Carter,61,26,91
Jake Gervase,61,24,87
Nigel Warrior,61,23,89
Stephen Denmark,61,24,85
Montre Hartage,61,23,89
Brandon Wilson,61,26,87
Hercules Mata'afa,61,24,91
Jonathan Harris,61,24,85
Quinton Bell,61,24,87
